Product Name,Category,Selling Price (INR),Cost Price (INR),Initial Stock,Unit,SKU / Barcode,Emoji Icon
110mm PVC Drainage Pipe 6m,Pipes & Fittings,480,360,50,Length,SKU-PVC-110,🛠️
Brass Ball Valve 1/2 inch,Pipes & Fittings,220,160,120,Piece,SKU-VAL-050,🚰
CPVC Solvent Cement 250ml,Adhesives & Sealants,180,130,75,Can,SKU-ADH-CPVC250,🧪
SS Drain Strainer 4 inch,Kitchen & Bath,150,90,100,Piece,SKU-SNK-STR04,🪠
Teflon Thread Seal Tape 12mm,Hardware & Accessories,25,12,500,Roll,SKU-TAP-TEF12,🧵
Water Storage Tank 1000L,Water Storage,7500,5800,15,Unit,SKU-TNK-1000L,🪣
Submersible Cable 4.0 sq mm,Electrical & Wiring,120,95,300,Meter,SKU-CBL-SUB40,⚡
GI Binding Wire 12 Gauge,Hardware & Accessories,110,85,200,Kg,SKU-WIR-GI12,🪛
Submersible Water Pump 1.5 HP,Pumps & Motors,8500,6800,10,Unit,SKU-PMP-15HP,⚙️
HDPE Pipe 63mm PN6 (Coil),Pipes & Fittings,6200,4900,8,Coil,SKU-HDPE-63PN6,🌀
Chrome Plated Bib Cock Tap,Kitchen & Bath,450,320,40,Piece,SKU-TAP-CPBIB,🚿
